iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,1314.0,8876.957,1314.0,8876.957,0.852,_84_85_86_87_88_89_90_91_92_93_94_95_96_98_99,
1,1188.645,1654.124,1314.0,1654.124,0.206,,
2,1256.396,1641.782,1314.0,1641.782,0.2,,
3,1321.859,1652.221,1321.859,1641.782,0.195,,
4,1366.967,1641.681,1366.967,1641.681,0.167,,
5,1391.565,1659.454,1391.565,1641.681,0.152,,
6,1413.699,1633.746,1413.699,1633.746,0.135,,
7,1416.255,1625.257,1416.255,1625.257,0.129,,
8,1432.575,1628.15,1432.575,1625.257,0.119,,
9,1432.331,1635.535,1432.575,1625.257,0.119,,
10,1433.89,1640.7,1433.89,1625.257,0.118,,
11,1433.652,1631.352,1433.89,1625.257,0.118,,
12,1433.414,1627.083,1433.89,1625.257,0.118,,
13,1440.756,1640.811,1440.756,1625.257,0.114,,
14,1432.632,1631.037,1440.756,1625.257,0.114,,
15,1445.357,1630.317,1445.357,1625.257,0.111,,
16,1439.573,1615.739,1445.357,1615.739,0.105,,
17,1444.282,1659.476,1445.357,1615.739,0.105,,
18,1444.824,1641.761,1445.357,1615.739,0.105,,
19,1451.243,1616.011,1451.243,1615.739,0.102,,
20,1450.959,1630.306,1451.243,1615.739,0.102,,
21,1446.666,1620.849,1451.243,1615.739,0.102,,
22,1454.829,1632.61,1454.829,1615.739,0.1,,
23,1449.298,1639.898,1454.829,1615.739,0.1,,
24,1451.27,1603.315,1454.829,1603.315,0.093,,
25,1449.558,1582.652,1454.829,1582.652,0.081,,
26,1460.591,1591.004,1460.591,1582.652,0.077,,
27,1458.315,1607.534,1460.591,1582.652,0.077,,
28,1458.868,1613.748,1460.591,1582.652,0.077,,
29,1459.645,1602.242,1460.591,1582.652,0.077,,
30,1458.94,1595.984,1460.591,1582.652,0.077,,
31,1461.337,1573.106,1461.337,1573.106,0.071,,
32,1466.47,1607.489,1466.47,1573.106,0.068,,
33,1459.438,1597.112,1466.47,1573.106,0.068,,
34,1463.506,1606.552,1466.47,1573.106,0.068,,
35,1458.745,1589.638,1466.47,1573.106,0.068,,
36,1466.721,1587.694,1466.721,1573.106,0.068,,
37,1459.999,1574.884,1466.721,1573.106,0.068,,
38,1464.459,1582.537,1466.721,1573.106,0.068,,
39,1457.859,1605.372,1466.721,1573.106,0.068,,
40,1465.294,1601.525,1466.721,1573.106,0.068,,
41,1457.299,1596.156,1466.721,1573.106,0.068,,
42,1460.492,1617.069,1466.721,1573.106,0.068,,
43,1467.105,1591.728,1467.105,1573.106,0.067,,
44,1467.372,1601.159,1467.372,1573.106,0.067,,
45,1462.933,1577.405,1467.372,1573.106,0.067,,
46,1468.024,1607.595,1468.024,1573.106,0.067,,
47,1466.621,1583.626,1468.024,1573.106,0.067,,
48,1465.233,1562.884,1468.024,1562.884,0.061,,
49,1461.887,1587.8,1468.024,1562.884,0.061,,
50,1470.039,1600.398,1470.039,1562.884,0.059,,
51,1463.469,1581.57,1470.039,1562.884,0.059,,
52,1470.092,1609.598,1470.092,1562.884,0.059,,
53,1471.511,1602.274,1471.511,1562.884,0.058,,
54,1468.128,1583.489,1471.511,1562.884,0.058,,
55,1467.274,1603.261,1471.511,1562.884,0.058,,
56,1473.722,1600.214,1473.722,1562.884,0.057,,
57,1466.863,1565.842,1473.722,1562.884,0.057,,
58,1473.449,1570.111,1473.722,1562.884,0.057,,
59,1471.796,1562.79,1473.722,1562.79,0.057,,
60,1468.42,1571.196,1473.722,1562.79,0.057,,
61,1468.226,1588.843,1473.722,1562.79,0.057,,
62,1468.877,1612.545,1473.722,1562.79,0.057,,
63,1472.269,1576.362,1473.722,1562.79,0.057,,
64,1472.36,1575.224,1473.722,1562.79,0.057,,
65,1467.063,1609.646,1473.722,1562.79,0.057,,
66,1472.171,1577.381,1473.722,1562.79,0.057,,
67,1478.539,1585.702,1478.539,1562.79,0.054,,
68,1471.113,1562.793,1478.539,1562.79,0.054,,
69,1473.618,1614.805,1478.539,1562.79,0.054,,
70,1468.104,1568.022,1478.539,1562.79,0.054,,
71,1472.803,1591.88,1478.539,1562.79,0.054,,
72,1472.362,1596.138,1478.539,1562.79,0.054,,
73,1474.003,1595.0,1478.539,1562.79,0.054,,
74,1475.73,1602.252,1478.539,1562.79,0.054,,
75,1473.796,1585.643,1478.539,1562.79,0.054,,
76,1476.339,1573.296,1478.539,1562.79,0.054,,
77,1468.249,1588.82,1478.539,1562.79,0.054,,
78,1478.487,1595.236,1478.539,1562.79,0.054,,
79,1476.341,1585.869,1478.539,1562.79,0.054,,
80,1475.281,1565.921,1478.539,1562.79,0.054,,
81,1471.971,1594.113,1478.539,1562.79,0.054,,
82,1478.192,1588.566,1478.539,1562.79,0.054,,
83,1471.639,1590.914,1478.539,1562.79,0.054,,
84,1479.366,1575.361,1479.366,1562.79,0.053,,
85,1472.124,1558.584,1479.366,1558.584,0.051,,
86,1480.068,1554.519,1480.068,1554.519,0.048,,
87,1474.44,1576.296,1480.068,1554.519,0.048,,
88,1480.282,1589.848,1480.282,1554.519,0.048,,
89,1478.867,1591.774,1480.282,1554.519,0.048,,
90,1475.358,1569.03,1480.282,1554.519,0.048,,
91,1476.871,1595.08,1480.282,1554.519,0.048,,
92,1478.711,1593.07,1480.282,1554.519,0.048,,
93,1480.943,1555.365,1480.943,1554.519,0.047,,
94,1477.559,1563.738,1480.943,1554.519,0.047,,
95,1482.466,1590.789,1482.466,1554.519,0.046,,
96,1478.663,1565.976,1482.466,1554.519,0.046,,
97,1479.399,1578.478,1482.466,1554.519,0.046,,
98,1483.975,1568.003,1483.975,1554.519,0.045,,
99,1481.294,1576.464,1483.975,1554.519,0.045,,
Running time: 195.69 sec